Brand,Model,Riding_Style,Riding_Level,Shape,Camber_Profile,Stance,Flex,Price_USD,Powder,,,,,,,,
Endeavor,Archetype,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Gentemstick,Stingray,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,1040,Good,,,,,,,,
Gnu,Gremlin,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,499,Good,,,,,,,,
Gnu,Nuzoid,Alternative Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,599,Good,,,,,,,,
Gnu,Super Progressive Air Machine,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Lib Tech,Short Wide,Alternative Freeride,Beginner-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,549,Good,,,,,,,,
Lib Tech,Lost Rocket,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,549,Good,,,,,,,,
Lib Tech,Lost Quiver Killer,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,599,Good,,,,,,,,
Lib Tech,Stump Ape,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,619,Good,,,,,,,,
Never Summer, Insta Gator,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,519,Good,,,,,,,,
Never Summer, Maverix,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,529,Good,,,,,,,,
Niche,Pyre,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,549,Good,,,,,,,,
Nidecker,The Donuts,Alternative Freeride,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium/Stiff,649,Good,,,,,,,,
Nitro,Slash,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,599,Good,,,,,,,,
Soul,Flashback,Alternative Freeride,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium,649,Good,,,,,,,,
Stone,Topo,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,329,Good,,,,,,,,
Telos,BackSlash,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,595,Good,,,,,,,,
Burton,Instigator,Freeride,Beginner-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,419,Good,,,,,,,,
Burton,Leader Board,Freeride,Beginner-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Stiff,549,Good,,,,,,,,
Burton,Super Bueno,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Burton,Flight Attendant,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,609,Good,,,,,,,,
Burton,Deep Thinker,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Soft,629,Good,,,,,,,,
Burton,Hometown Hero,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,629,Good,,,,,,,,
Burton,3D Daily Driver,Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,629,Good,,,,,,,,
Burton,3D Double Dog,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,629,Good,,,,,,,,
Burton,Speed Date,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,650,Good,,,,,,,,
Decathlon,All Road 500,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,299,Good,,,,,,,,
Decathlon,Bullwhip 700,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,399,Good,,,,,,,,
Endeavor,Maverick,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,539,Good,,,,,,,,
Gnu,Hyperkyarve,Freeride,Beginner-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,519,Good,,,,,,,,
Gnu,Banked Country,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,529,Good,,,,,,,,
Gnu,Mullair,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Gnu,SPASYM,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Jones,Carbon Flagship,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Stiff,999,Good,,,,,,,,
Lib Tech,Cold Brew,Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,459,Good,,,,,,,,
Lib Tech,Jamie Lynn Dagmar,Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,579,Good,,,,,,,,
Lib Tech,MC Snake Kink,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,599,Good,,,,,,,,
Lib Tech,Jamie Lynn Titty Fish,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Lib Tech,Lost Round Nose Fish,Freeride,Advanced-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,649,Good,,,,,,,,
Lib Tech,Golden Orca,Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,749,Good,,,,,,,,
Lib Tech,Doughboy Shredder,Freeride,Expert,Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,749,Good,,,,,,,,
Never Summer, Big Gun,Freeride,Advanced-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,569,Good,,,,,,,,
Never Summer, West Bound,Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,589,Good,,,,,,,,
Never Summer, Hammer,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,629,Good,,,,,,,,
Niche,Maelstorm,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,549,Good,,,,,,,,
Nidecker,Area,Freeride,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium/Stiff,399,Good,,,,,,,,
Nitro,Quiver Fusion,Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,529,Good,,,,,,,,
Ride,Commissioner,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Stiff,799,Good,,,,,,,,
Salomon,Taka X Wolle,Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,649,Good,,,,,,,,
SnoPlanks,Model A,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,799,Good,,,,,,,,
Soul,Frequent Flyer,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Good,,,,,,,,
Capita,Navigator,Powder,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,449,Good,,,,,,,,
Elevated,Surf Craft Step-Up,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,820,Good,,,,,,,,
Elevated,Surf Craft Shortboard,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,820,Good,,,,,,,,
Stone,Barrel,Snowsurf,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,299,Good,,,,,,,,
Jones,Mind Expander,Alternative Freeride,Advanced-Expert,Tapered Directional,Continuous Rocker,Centered,Medium,599,Great,,,,,,,,
Jones,Ultra Mind Expander,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Centered,Stiff,699,Great,,,,,,,,
Prior,Legacy,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Centered,Medium/Stiff,540,Great,,,,,,,,
Salomon,Dancehaul,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Centered,Medium,479,Great,,,,,,,,
Weston,Hatchet,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Centered,Medium/Stiff,649,Great,,,,,,,,
Yes,The Y,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Centered,Medium/Stiff,449,Great,,,,,,,,
Yes,PYL Uninc,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Centered,Medium/Stiff,649,Great,,,,,,,,
Capita,Spring Break Powder,Powder,Advanced-Expert,True Twin,Hybrid Camber,Centered,Medium/Stiff,479,Great,,,,,,,,
Yes,2020,Powder,Advanced-Expert,True Twin,Hybrid Camber,Centered,Medium,699,Great,,,,,,,,
Gentemstick,Chaser HP,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Centered,Medium/Stiff,1010,Great,,,,,,,,
Gentemstick,Chaser,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Centered,Medium/Stiff,1010,Great,,,,,,,,
Cardiff,Swell Enduro Split,Alternative Freeride,Advanced-Expert,Directional,Hybrid Camber,Setback -10mm,Medium/Stiff,900,Great,,,,,,,,
Weston,Backwoods,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -10mm,Medium/Stiff,599,Great,,,,,,,,
Burton,Big Gulp,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -12.5mm,Medium/Stiff,549,Great,,,,,,,,
K2,Overboard,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,479,Great,,,,,,,,
K2,Eighty Seven,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium,549,Great,,,,,,,,
K2,Simple Pleasures,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,559,Great,,,,,,,,
Korua,Transition Finder,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,499,Great,,,,,,,,
Korua,Stealth,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Stiff,499,Great,,,,,,,,
Ride,Psychocandy,Alternative Freeride,Beginner-Expert,Tapered Directional,Flat to Rocker,Setback -20mm,Medium,519,Great,,,,,,,,
Jones,Stratos,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium/Stiff,599,Great,,,,,,,,
Jones,Project X,Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,1699,Great,,,,,,,,
K2,Instrument,Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,529,Great,,,,,,,,
Prior,Fissle,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,649,Great,,,,,,,,
Burton,Pow Wrench,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback -20mm,Medium,529,Great,,,,,,,,
Elevated,Surf Craft Whiskey Jack,Snowsurf,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback -20mm,Medium,849,Great,,,,,,,,
Korua,Pencil,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Stiff,509,Great,,,,,,,,
Korua,Cafe' Racer,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -20mm,Stiff,549,Great,,,,,,,,
Korua,Pencil Plus,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback -20mm,Medium/Stiff,799,Great,,,,,,,,
Nitro,Quiver Cannon 173,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback -20mm,Medium/Stiff,519,Great,,,,,,,,
Bataleon,Party Wave,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,399,Great,,,,,,,,
Burton,Killroy Pow Camber,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,449,Great,,,,,,,,
Burton,Show Stopper,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,579,Great,,,,,,,,
Burton,Stun Gun,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Great,,,,,,,,
Cardiff,Powgoda,Alternative Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,749,Great,,,,,,,,
Cardiff,Swell,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,749,Great,,,,,,,,
DC,HR,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,599,Great,,,,,,,,
Gentemstick,Mantaray 156,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,980,Great,,,,,,,,
Gentemstick,XY,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,980,Great,,,,,,,,
Gnu,Fun Guy,Alternative Freeride,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium/Stiff,599,Great,,,,,,,,
Jones,Lone Wolf,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,699,Great,,,,,,,,
Lib Tech,Orca,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,649,Great,,,,,,,,
Lib Tech,Apex Orca,Alternative Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,999,Great,,,,,,,,
Lobster,Aaron Schwartz Artist Edition,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Soft,429,Great,,,,,,,,
Moss,Snowstick C3,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Soft,1240,Great,,,,,,,,
Never Summer, Harpoon,Alternative Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,569,Great,,,,,,,,
Never Summer, Swift,Alternative Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium/Stiff,619,Great,,,,,,,,
Nidecker,Mellow,Alternative Freeride,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,499,Great,,,,,,,,
Rome,Service Dog,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,399,Great,,,,,,,,
Rome,Stale Fish,Alternative Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,449,Great,,,,,,,,
Yes,Hybrid,Alternative Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,549,Great,,,,,,,,
Burton,Skeleton Key,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,549,Great,,,,,,,,
Burton,Wave Tracer,Freeride,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,629,Great,,,,,,,,
Burton,Straight Chuter,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,749,Great,,,,,,,,
Cardiff,Bonsai,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Stiff,749,Great,,,,,,,,
Jones,Flagship,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,649,Great,,,,,,,,
Jones,Ultra Flagship,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Stiff,999,Great,,,,,,,,
Lib Tech,BRD,Freeride,Intermediate-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,629,Great,,,,,,,,
Nidecker,Beta,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,479,Great,,,,,,,,
Prior,Spearhead,Freeride,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,699,Great,,,,,,,,
Rossignol,XV,Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,649,Great,,,,,,,,
Capita,Spring Break Slush Slasher,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium,379,Great,,,,,,,,
Capita,Spring Break Powder Racer,Powder,Beginner-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Soft,499,Great,,,,,,,,
Capita,Spring Break Powder Drifter,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Soft,719,Great,,,,,,,,
Capita,Spring Break Powder 151 Mini Tree Hunter,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium,719,Great,,,,,,,,
K2,Party Platter,Powder,Intermediate-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,449,Great,,,,,,,,
Soul,Pocket Rocket,Powder,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium/Soft,649,Great,,,,,,,,
Arbor,Single,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Medium,529,Great,,,,,,,,
Borealish,Marauder,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,649,Great,,,,,,,,
Elevated,Surf Craft Redtail Hawk,Snowsurf,Advanced-Expert,Tapered Directional,Flat to Rocker,Setback over 20mm,Medium/Stiff,820,Great,,,,,,,,
Gentemstick,Spoonfish,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,830,Great,,,,,,,,
Gentemstick,Hornet,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,1000,Great,,,,,,,,
Gilson,Fly,Snowsurf,Intermediate-Expert,Directional,Directional Camber,Setback over 20mm,Medium/Soft,799,Great,,,,,,,,
Jones,Storm Wolf,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Stiff,599,Great,,,,,,,,
Lib Tech,MC Wayfinder,Snowsurf,Beginner-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Medium,559,Great,,,,,,,,
Lib Tech,Lost Retro Ripper,Snowsurf,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium/Stiff,699,Great,,,,,,,,
Moss,Snowsitck Wing Smallow 49,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,1020,Great,,,,,,,,
Moss,Snowstick Wing Smallow,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium,1040,Great,,,,,,,,
Moss,Snowstick Jellyfish,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,1080,Great,,,,,,,,
Nidecker,The  Mosquito,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Great,,,,,,,,
Rossignol,XV Sashimi,Snowsurf,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,599,Great,,,,,,,,
Season,Forma,Snowsurf,Advanced-Expert,Tapered Directional,Mostly Camber,Setback over 20mm,Stiff,549,Great,,,,,,,,
SnoPlanks,Asym Fish,Snowsurf,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,799,Great,,,,,,,,
Soul,Shift,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,649,Great,,,,,,,,
Soul,Scrambler,Snowsurf,Advanced-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium,649,Great,,,,,,,,
Soul,Pitch Wing,Snowsurf,Advanced-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Medium,649,Great,,,,,,,,
Stone,Dirty Fish,Snowsurf,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,399,Great,,,,,,,,
Stone,Mini-Gun,Snowsurf,Intermediate-Expert,Tapered Directional,Directional Camber,Setback over 20mm,Medium/Stiff,399,Great,,,,,,,,
Arbor,Coda Camber,All Mountain,Beginner-Expert,Directional Twin,Mostly Camber,Centered,Medium,549,Poor,,,,,,,,
Rome,Freaker,All Mountain,Advanced-Expert,Directional Twin,Mostly Camber,Centered,Medium,459,Poor,,,,,,,,
Rome,Stale Crewzer,All Mountain,Advanced-Expert,Directional Twin,Mostly Camber,Centered,Medium,499,Poor,,,,,,,,
Alloy,Kwang Ki,All Mountain,Advanced-Expert,Directional Twin,Traditional Camber,Setback -10mm,Medium,549,Poor,,,,,,,,
Burton,Custom X Camber,All Mountain,Expert,Directional,Traditional Camber,Setback -12.5mm,Medium/Stiff,1549,Poor,,,,,,,,
Nitro,Team,All Mountain,Advanced-Expert,Directional Twin,Traditional Camber,Setback -15mm,Medium,499,Poor,,,,,,,,
Slash,ATV,All Mountain,Advanced-Expert,Directional Twin,Traditional Camber,Setback -20mm,Medium/Stiff,499,Poor,,,,,,,,
Arbor,Element Camber,All Mountain Freestyle,Intermediate-Expert,Directional Twin,Mostly Camber,Centered,Medium,449,Poor,,,,,,,,
Arbor,Wasteland Camber,All Mountain Freestyle,Beginner-Expert,Directional Twin,Traditional Camber,Centered,Medium/Stiff,649,Poor,,,,,,,,
Burton,Kilroy Process,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium,399,Poor,,,,,,,,
Burton,Killroy Twin Camber,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium,399,Poor,,,,,,,,
Burton,Kilroy Custom ,All Mountain Freestyle,Advanced-Expert,Directional,Traditional Camber,Centered,Medium/Stiff,449,Poor,,,,,,,,
Burton,Free Thinker,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium/Stiff,579,Poor,,,,,,,,
Capita,Defenders Of Awesome,All Mountain Freestyle,Advanced-Expert,True Twin,Hybrid Camber,Centered,Medium,459,Poor,,,,,,,,
Capita,Asymulator,All Mountain Freestyle,Advanced-Expert,Asymmetrical Twin,Mostly Camber,Centered,Medium,499,Poor,,,,,,,,
Capita,Super DOA,All Mountain Freestyle,Advanced-Expert,True Twin,Hybrid Camber,Centered,Medium,649,Poor,,,,,,,,
DC,Mega,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Stiff,499,Poor,,,,,,,,
DC,The 156,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium/Soft,499,Poor,,,,,,,,
Endeavor,Live,All Mountain Freestyle,Advanced-Expert,Directional Twin,Mostly Camber,Centered,Medium,489,Poor,,,,,,,,
Gnu,RC C3,All Mountain Freestyle,Advanced-Expert,Asymmetrical Twin,Mostly Camber,Centered,Medium,659,Poor,,,,,,,,
K2,Afterblack,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Stiff,429,Poor,,,,,,,,
Lib Tech,Hot Knife,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium,499,Poor,,,,,,,,
Lib Tech,TRS HP ,All Mountain Freestyle,Beginner-Expert,Directional Twin,Hybrid Rocker,Centered,Medium,599,Poor,,,,,,,,
Niche,Crux,All Mountain Freestyle,Advanced-Expert,Directional Twin,Mostly Camber,Centered,Medium,499,Poor,,,,,,,,
Niche,Theme,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium/Soft,519,Poor,,,,,,,,
Nitro,Fury Quiver,All Mountain Freestyle,Advanced-Expert,Asymmetrical Twin,Mostly Camber,Centered,Medium/Stiff,499,Poor,,,,,,,,
Ride,Helix,All Mountain Freestyle,Intermediate-Expert,Asymmetrical Twin,Mostly Camber,Centered,Medium,499,Poor,,,,,,,,
Rome,Agent,All Mountain Freestyle,Advanced-Expert,Twinish,Traditional Camber,Centered,Medium,499,Poor,,,,,,,,
Rossignol,Juggernaut,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Stiff,549,Poor,,,,,,,,
Salomon,Huck Knife Pro,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Soft,549,Poor,,,,,,,,
Stone,Message,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium,349,Poor,,,,,,,,
Stone,Graham,All Mountain Freestyle,Advanced-Expert,True Twin,Traditional Camber,Centered,Medium/Stiff,399,Poor,,,,,,,,
Endeavor,Alpha,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Camber,Setback over 20mm,Medium/Stiff,599,Poor,,,,,,,,
Never Summer, East,Alternative Freeride,Advanced-Expert,Tapered Directional,Hybrid Rocker,Setback over 20mm,Stiff,699,Poor,,,,,,,,
Decathlon,Bullwhip 300 Evo,Freeride,Advanced-Expert,Directional Twin,Traditional Camber,Centered,Medium,199,Poor,,,,,,,,
Arbor,Westmark Camber,Freestyle,Intermediate-Expert,True Twin,Mostly Camber,Centered,Medium,449,Poor,,,,,,,,
Capita,Horroscope,Freestyle,Beginner-Expert,True Twin,Flat to Rocker,Centered,Soft,379,Poor,,,,,,,,
Capita,Ultrafear,Freestyle,Intermediate-Expert,True Twin,Flat to Rocker,Centered,Soft,489,Poor,,,,,,,,
Capita,Scott Stevens Pro,Freestyle,Intermediate-Expert,True Twin,Flat to Rocker,Centered,Soft,529,Poor,,,,,,,,
Capita,Outsiders,Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium,579,Poor,,,,,,,,
Dinosaurs,Will Die Rat,Freestyle,Beginner-Expert,True Twin,Flat to Rocker,Centered,Medium/Soft,399,Poor,,,,,,,,
Gnu,Head Space,Freestyle,Advanced-Expert,Asymmetrical Twin,Mostly Camber,Centered,Medium/Soft,459,Poor,,,,,,,,
Lib Tech,Box Scratcher,Freestyle,Beginner-Expert,True Twin,Continuous Rocker,Centered,Medium/Soft,479,Poor,,,,,,,,
Niche,Wraith,Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Soft,449,Poor,,,,,,,,
Ride,Kink,Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Soft,429,Poor,,,,,,,,
Rossignol,Retox,Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium/Soft,399,Poor,,,,,,,,
Weston,Logger,Freestyle,Beginner-Expert,True Twin,Flat to Rocker,Centered,Medium/Soft,499,Poor,,,,,,,,
Yes,Jackpot,Freestyle,Beginner-Expert,True Twin,Traditional Camber,Centered,Medium/Soft,479,Poor,,,,,,,,
Alloy,D.O Carbon,Freestyle,Beginner-Expert,Tapered Directional,Traditional Camber,Setback over 20mm,Stiff,999,Poor,,,,,,,,
